
ঁ চনদ্রোবিনদু
ক্যান্সেল ক১নসেল
ক্যাপসুল ক১পসুল
ক্যাম্প ক১ম-প$
ক্যাম্পটা ক১ম-প-টা$
ক্ষমতা খমোতা
ক্ষমতায় খমোতায়
ক্ষেত্র খেতত্রো
ক্ষ্যাপা খ১পা
কয়জন কয়-জন$
কয়টা কয়টা
কয়দিন কয়দিন
কয়দিনের কয়দিনের
কয়েকদিন কয়েকদিন
কয়েকদিনের কয়েকদিনের
খটকা খটকা
খবরই খবোরই
খবরগুলি খবোরগুলি
খবরগুলিও খবোরগুলিও
খবরটা খবোরটা
খবরটি খবোরটি
খবরাখবর খবোরা-খবোর$
খাওয়াল খাওয়ালো
খানকে খানকে
খানম খানম
খানেক খানেক
খিকখিক খিকখিক
খুঁটতে খুটতে
খেল খ১ল
খেলছে খেলছে
খেলতাম খেলতাম
খেলতে খেলতে
খেলবি খেলবি
খেললে খেললে
খেলা খ১লা
খেলাধুলা খ১লাধুলা
খেলাম খেলাম
খেলার খ১লার
খেলায় খ১লায়
খোঁজখবর খোজখবর
খৎনা খতনা
গঙ্গোপাধ্যায় গঙগোপাদধায়
গজযূথ গজোজুথো
গণপ্রজাতন্ত্রী গনোপ্রজাতনত্রি
গণিমতের গোনি-মতের$
গত গতো
গনতন্ত্র গনোতনত্রো
গবেষণা গবেশোনা
গর্ব গরবো
গলগ্রহ গলোগগ্রোহো
গলিত গোলিতো
গাছপালা গাছপালা
গাছপালায় গাছপালায়
গানটা গানটা
গানটি গানটি
গানবোট গানবোট
গানবোটের গানবোটের
গামলা গামলা
গাঢ় গাড়ো
গিজগিজ গিজগিজ
গিয়েছ গিয়েছো
গিয়েছিল গিয়েছিলো
গুনগুন গুনগুন
গৃহকর্ত্রী গ্রিহোকোরত্রি
গৃহস্থ গ্রিহোসথো
গৃহীত গ্রিহিতো
গেল গ১লো
গেলা গেলা
গেলাম গ১লাম
গোলমাল গোলমাল
গ্রন্হকার গ্রোনথোকার
গ্রন্হাগার গ্রোনথাগার
গ্রাউন্ড গ্রাউন-ড$
ঘন ঘনো
ঘরটা ঘরটা
ঘরটাতে ঘরটাতে
ঘষতে ঘশতে
ঘাপটি ঘাপটি
ঘাবড়ে ঘাবড়ে
ঘামছে ঘামছে
ঘামতে ঘামতে
ঘুমাননি ঘুমাননি
ঘৃণ্য ঘ্রিননো
ঘোষণায় ঘোশোনায়
ঙ উমো
চকচক চক-চক$
চকচকে চকচোকে
চক্কর চককোর
চণ্ডী চোনডি
চতুঃসীমা চোতুশশীম
চমচম চম-চম$
চর্বিতচর্বণ চোরবিতচরবোন
চর্ব্য চরবো
চলবে চলবে
চলিত চোলিত
চল্লিশ চোললিশ
চাঁদনী চাদনি
চাইছিল চাইছিলো
চামড়া চামড়া
চায়নিজ চায়নিজ
চিটচিটে চিট-চিটে$
চিত্রকল্প চিতত্রোকলপো
চিন্তিত চিনতিতো
চিরদুঃখ চিরোদুকখো
চিড়িতন চিড়িতন
চুবচুবে চুবচুবে
চুমুক চুমুক
চুরানব্বই চুরানববোই
চুলগুলি চুলগুলি
চুলটুল চুলটুল
চুয়াল্লিশ চুয়াললিশ
চেতনা চেতনা
চেনা চেনা
চেয়ারম্যান চেয়ারম১ন
চেয়ারম্যানকে চেয়ারম১নকে
চেয়েছিল চেয়েছিলো
চৌকস চোউকোশ
চ্যুত চুতো
চ্যুতি চুতি
ছটফট ছট-ফট$
ছত্রক ছতত্রোক
ছদ্ম ছদদো
ছদ্মনাম ছদদোনাম
ছন্দঃ ছনদো
ছপছপ ছপ-ছপ$
ছমছম ছম-ছম$
ছমছমে ছম-ছমে$
ছলচ্ছল ছলোচছোল
ছাত্রজীবন ছাতত্রোজিবোন
ছাত্রসঙ্ঘ ছাতত্রোশঙঘো
ছাড়ছে ছাড়ছে
ছাড়তেই ছাড়তেই
ছিল ছিলো
ছিয়াত্তর ছিয়াততোর
ছেচল্লিশ ছেচোললিশ
ছেষট্টি ছেশোটটি
ছোট ছোটো
ছড়ি ছোড়ি
জগদ্দল জগোদদল
জগদ্বিখ্যাত জগোদবিকখাতো
জনপ্রিয় জনোপপ্রিয়ো
জনসংখ্যা জনোশঙখা
জন্ম জনমো
জন্মগ্রহণ জনমোগগ্রোহোন
জন্মভূমি জনমোভূমি
জন্যে জোননে
জলজ জলোজো
জলপ্রপাত জলোপপ্রোপাত
জলবায়ু জলবায়ু
জলসা জলশা
জলাতঙ্ক জলাতোঙকো
জাগ্রত জাগগ্রোতো
জাজ্বল্যমান জাজজোললোমান
জাত জাতো
জাতিচ্যুত জাতিচচুতো
জিজ্ঞাস্য জিগগাশশো
জীবজগৎ জিব-জগোত$
জীবন জিবোন
জীবাত্মা জিবাততা
জীবাশ্ম জিবাশশো
জীবিত জিবিতো
জীর্ণ জিরনো
জেলা জেলা
জ্ঞাত গ১তো
জ্ঞাতব্য গ১তোববো
জ্ঞাতি গ১তি
জ্ঞান গ১ন
জ্ঞাপক গ১পোক
জ্ঞাপন গ১পন
জ্বলন্ত জলোনতো
জ্যেষ্ঠ জেশঠো
জ্যৈষ্ঠ জোইশঠো
জড়জগৎ জড়োজগোত
জড়বুদ্ধি জড়োবুদধি
জয়ধ্বনি জয়োদধোনি
ঝরণা ঝরনা
ঝরনা ঝরনা
ঝামটা ঝামটা
ঝিমানো ঝিমানো
ঝড় ঝড়
ঞ ইও
টইটুম্বুর টোইটোমবুর
টক্কর টককোর
টেকসই টেকশোই
ট্যাক্স ট১ক-স$
ঠকঠক ঠকঠক
ঠকঠকি ঠকঠোকি
ঠায় ঠায়
ঠোক্কর ঠোককোর
ডাকছি ডাকছি
ডাকছিস ডাকছিশ
ডাকছে ডাকছে
ডাকত ডাকতো
ডাকতে ডাকতে
ডাকব ডাকবো
ডাকবাংলা ডাকবাঙলা
ডাকবি ডাকবি
ডাকল ডাকলো
ডাকলাম ডাকলাম
ডাকলামই ডাকলামই
ডাকলে ডাকলে
ডাকলেন ডাকলেন
ডিকশনারি ডিকশোনারি
ডিস্ট্রিক্ট ডিসট্রিক-ট$
ডেড ডেড
ডেডবডি ডেড-বডি$
ড্রপ ড্রপ
ঢকঢক ঢকঢক
ঢুকল ঢুকলো
ঢেলা ঢ১লা
ঢেড়স ঢ১ড়োশ
ণত্ববিধান নততোবিধান
ণত্ববিধি নততোবিধি
তকদির তোকদির
তখন তখোন
তছনছ তছনছ
তজ্জন্য তজজোননো
তত্ত্বজ্ঞ তততোগগো
তত্ত্বাবধান তততাবধান
তত্ত্বাবধায়ক তততাবধায়োক
তত্ত্বীয় তোততিয়
তথ্য তোতথো
তদীয় তদিয়ো
তদুপরি তদুপোরি
তদ্রুপ তদদ্রুপ
তব তবো
তরুপ তুরুপ
তর্কও তরকো
তলপেটে তলপেটে
তল্লাশ তললাশ
তাকাল তাকালো
তারপর তারপর
তারপরই তারপরই
তারপরে তার-পরে$
তারপরেই তার-পরেই$
তাৎপর্য তাতপরজো
তিনজনের তিন-জনের$
তিনটি তিনটি
তিরস্কার তিরোশকার
তিরানব্বই তিরানববোই
তিয়াত্তর তিয়াততোর
তীক্ষ্ণ তিখনো
তুইও তুই-ও$
তুলনায় তুলোনায়
তুলল তুললো
তেজস্ক্রিয়া তেজোসক্রিয়া
তেজস্বী তেজোশশি
তোতলাতে তোতলাতে
ত্রিনয়ন ত্রিনয়োন
ত্রিবিধ ত্রিবিধো
তৎক্ষণাৎ তত-খনাত$
তৎপরতা তত-পরোতা$
তৎসম তত-শমো$
থইথই থোইথোই
থতমত থতো-মতো$
থমথম থমথম
থমথমে থম-থমে$
থরথর থরথর
থলথলে থল-থলে$
থাকত থাকতো
থাকতে থাকতে
থাকতেই থাকতেই
থাকব থাকবো
থাকবি থাকবি
থাকবে থাকবে
থাকবেন থাকবেন
থাকল থাকলো
থাকলাম থাকলাম
থাকলে থাকলে
থাকলেই থাকলেই
থামবি থামবি
থামলাম থামলাম
থেকে থেকে
থেকেই থেকেই
দরখাস্ত দরখাসতো
দাঁড়াল দাড়ালো
দারিদ্র্য দারিদদ্রো
দাসত্ব দাশততো
দিপ্রহর দিপপ্রোহর
দীনবন্ধু দিনোবোনধু
দুঃখ দুকখো
দুঃসময় দুশশোময়
দুঃসাহস দুশশাহোশ
দুঃস্বপ্ন দুশশপনো
দুরন্ত দুরোনতো
দুরবস্থা দুরোবসথা
দুরাকাঙ্ক্ষা দুরাকাঙখা
দুর্জ্ঞেয় দুরগেয়ো
দুর্জয় দুরজয়
দুর্বল দুরবল
দুর্বার দুরবার
দুর্বিনীত দুরবিনিতো
দুর্বিষহ দুরবিশহো
দুর্বোধ্য দুরবোধধো
দুষ্কর্ম দুশকরমো
দূষিত দুশিতো
দেওর দ১ওর
দেওয়র দ১ওর
দেখছ দেখছো
দেখছে দেখছে
দেখলাম দেখলাম
দেখল দেখলো
দেখলেই দেখলেই 
দেবকী দেবকি
দেবর্ষি দেবোরশি
দেশমাতৃকা দেশোমাতত্রিকা
দেশাত্মবোধ দেশাততোবোধ
দৌড় দোউর
দ্বারস্থ দারোসথো
দ্বিজ দিজো
দ্বৈত দোইতো
দ্ব্যর্থ দরথো
দ্যোতক দোতক
দ্রব দ্রোবো
দ্রাবণ দ্রাবোন
দ্রুত দ্রুতো
ধনঞ্জয় ধনোনজয়
ধনবান ধনোবান
ধনসম্পত্তি ধনশমপোততি
ধর্মকর্ম ধরমোকরমো
ধর্মঘট ধরমোঘট
ধর্মজ্ঞান ধরমোগগ্যান
ধর্মত ধরমোতো
ধাতব ধাতোবো
ধ্বনি ধোনি
ধ্রুব ধ্রুবো
নজরুল নোজরুল
নত নতো
নন্দিত নোনদিতো
নবজাত নবোজাতো
নব্বই নববোই
নভ নভো
নমিত নোমিতো
নাকফুল নাকফুল
নানাবিধ নানাবিধো
নামকরণ নামকরোন
নামগুলি নামগুলি
নামছে নামছে
নামটা নামটা
নামটার নামটার
নামটি নামটি
নামতে নামতে
নামলাম নামলাম
নারকেল নারকেল
নার্স নার-স$
নাহ্ নাহ
নাড়তে নাড়তে
নাড়ল নাড়লো
নাড়লাম নাড়লাম
নাড়লেন নাড়লেন
নিঃশ্বাস নিশ-শাশ$
নিঃস্ব নিশশো
নিচ্ছিল নিচছিলো
নিব নিবো
নিরক্ষর নিরকখোর
নির্গত নিরগতো
নির্ঘণ্ট নিরঘনটো
নির্ণেয় নিরনেয়ো
নির্ণয় নিরনয়
নির্বাসন নিরবাশোন
নির্বিঘ্ন নিরবিঘনো
নির্ভর নিরভর
নির্ভয় নিরভয়
নিল নিলো
নিশ্চিত নিশচিতো
নিষ্প্রভ নিশপ্রোভো
নিহিত নিহিতো
নিয়ম নিয়োম
নিয়মগুলি নিয়মগুলি
নিয়মানুবর্তিতা নিয়োমানুবোরতিতা
নিয়মিত নিয়োমিতো
নৃত্য ন্রিততো
নৃশংস ন্রিশঙশো
নেজামী নেজামি
নেতা নেতা
নেতৃত্ব নেতত্রিততো
নেন নেন
নেপথ্য নেপোতথো
নেব নেবো
নেম নেম
নেয় ন১য়
নেয়া নেয়া
নৈঃশব্দকে নোইশ-শব-দোকে$
নৈকট্য নোইকটটো
নৈতিক নোইতিক
নোঙর নোঙোর
ন্যাংটা ন১ঙ-টা$
ন্যায়সঙ্গত ন১য়শঙগতো
নড়লেন নড়লেন
পঁচাত্তর পোচাততোর
পঁয়তাল্লিশ পয়তালল্লিশ
পঁয়ষট্টি পয়শোটটি
পক্ষ পকখো
পক্স পক-স$
পঙক্তি পোঙকতি
পঠিত পোঠিতো
পত্তন পততোন
পরদিন পরদিন
পরদিনও পরদিনও
পরভৃৎ পরোভ্রিতো
পরলে পরলে
পরশু পোরশু
পরশুর পোরশুর
পরিক্রমা পোরিকক্রোমা
পরিচালক পোরিচালোক
পরিচিত পোরিচিতো
পরিবহন পোরিবহোন
পরিসংখ্যা পোরিশঙখা
পরিস্ফুট পোরিশফুটো
পরীক্ষিত পোরিকখিতো
পর্ব পরবো
পশলা পশলা
পাঁচটার পাচটার
পাগলামি পাগলামি
পাতলা পাতলা
পাননি পাননি
পাব পাবো
পারছি পারছি
পারছিল পারছিলো
পারছিলাম পারছিলাম
পারছিলেন পারছিলেন
পারছে পারছে
পারছেন পারছেন
পারতাম পারতাম
পারতেন পারতেন
পারব পারবো
পারবি পারবি
পারবে পারবে
পারমিশন পারমিশোন
পারল পারলো
পারলাম পারলাম
পারলি পারলি
পারলে পারলে
পারলেন পারলেন
পারেননি পারেননি
পার্ট পার-ট$
পার্থিব পারথিবো
পার্বণ পারবোন
পার্বত্য পারবোততো
পালিত পালিতো
পাসওয়ার্ড পাস-ওয়ার-ড$
পায়চারি পায়চারি
পায়নি পায়নি
পিছনে পিছোনে
পুণ্যাহ পুননাহো
পুনঃপুনঃ পুনোপপুনো
পুনরায় পুনোরায়
পুরনো পুরোনো
পুরাতন পুরাতোন
পুস্তক পুসতক
পূত পুতো
পূর্ব পুরবো
পূর্ববর্তী পুরবোবরতি
পূর্বাভাষ পুরবাভাশ
পূর্বাহ্ণ পুরবানহো
পৃক্ত প্রিকতো
পৃথ্বী প্রিতথি
পৃষ্ঠ প্রিশঠো
পেত পেতো
পেরক পেরেক
পেল পেলো
পেলাম পেলাম
পোস্ট পোশ-ট$
পোড়ায়নি পোড়ায়নি
পৌষ পোউশ
প্যান্ট প১ন-ট$
প্রগত প্রোগতো
প্রজ্ঞা প্রোগগা
প্রজ্বলিত প্রোজজোলিত
প্রতিজ্ঞা প্রোতিগগা
প্রত্যাখান প্রোততাকখান
প্রত্যুপকার প্রোততুপকার
প্রত্যুষ প্রোততুশ
প্রত্যেক প্রোততেক
প্রত্যেকদিন প্রোততেকদিন
প্রত্যেকদিনই প্রোততেকদিনই
প্রথম প্রোথোম
প্রথমবার প্রোথোমবার
প্রথমে প্রোথোমে
প্রধান প্রোধান
প্রফুল্ল প্রোফুললো
প্রবল প্রোবোল
প্রশংসা প্রোশোঙশা
প্রশ্ন প্রোশনো
প্রশ্নই প্রোশনোই
প্রশ্নের প্রোশনের
প্রসঙ্গ প্রোশোঙগো
প্রস্তুত প্রোশতুত
প্রাণপণে প্রান-পনে$
প্রাতঃকাল প্রাতোককাল
প্রাতরাশ প্রাতোরাশ
প্রিন্স প্রিন-শ$
প্রিপারেশন প্রিপারেশোন
প্রেতপুরীর প্রেতপুরির
প্রেসিডেন্ট প্রেসিডেন-ট$
প্রোল্লাদ প্রোললাদ
প্রৌঢ় প্রোউরো
প্র্যাকটিস প্র১কটি-স$
প্লাস প্লাস
পড়ছে পড়ছে
পড়ছেন পড়ছেন
পড়তে পোড়তে
পড়তেই পোড়তেই
পড়ব পোড়বো
পড়বি পোড়বি
পড়বে পোড়বে
পড়বেন পোড়বেন
পড়ল পোড়লো
পড়লাম পোড়লাম
পড়লে পোড়লে
পড়লেও পোড়লেও
পড়লেন পোড়লেন
পয়ঃপ্রণালি পয়োপপ্রনালি
পয়সা পয়শা
ফজলু ফোজলু
ফজলুও ফোজলুও
ফজলুকে ফোজলুকে
ফজলুর ফোজলুর
ফজলুরা ফোজলুরা
ফরহাদ ফরহাদ
ফলমূলের ফলমুলের
ফাজলেমি ফাজলেমি
ফাটবে ফাটবে
ফারসি ফারসি
ফার্স্ট ফার-স-ট$
ফুটবলের ফুট-বলের$
ফুলশর ফুলোশর
ফেরদৌস ফেরদোউস
ফেলছে ফেলছে
ফেলত ফেলতো
ফেলতে ফেলতে
ফেলব ফেলবো
ফেলবি ফেলবি
ফেলবে ফেলবে
ফেলল ফেল-লো$
ফেললাম ফেললাম
ফেললেন ফেললেন
ফেলেছিল ফেলেছিলো
ফ্যাশনের ফ১শোনের
ফ্রগম্যান ফ্রোগম১ন
ফ্রন্ট ফ্রোন-ট$
ফয়সালা ফয়সালা
বই বোই
বক্তব্য বোকতোববো
বঞ্চিত বোনচিতো
বদভ্যাস বদোবভাশ
বদমাইশ বদ-মাইশ$
বদমাইশগুলি বদমাইশগুলি
বরখাস্ত বরখাসতো
বর্গীয় বোরগিয়ো
বর্ণিত বোরনিতো
বলছ বোলছো
বলছি বোলছি
বলছিস বোলছিশ
বলছে বোলছে
বলছেন বোল-ছেন$
বলটা বলটা
বলত বোল-তো$
বলতাম বোল-তাম$
বলতে বোল-তে$
বলতেই বোল-তেই$
বলব বোল-বো$
বলবান বলোবান
বলবি বোল-বি$
বলবে বোল-বে$
বলল বোললো
বললি বোললি
বললে বোললে
বললেই বোললেই
বললেও বোললেও
বললেন বোললেন
বললো বোললো
বলেছি বোলেছি
বলেছিল বোলেছিলো
বলেছিলাম বোলেছিলাম
বলেছিলি বোলেছিলি
বলেছিলেন বোলেছিলেন
বলেছিস বোলেছিশ
বলেছে বোলেছে
বলেছেন বোলেছেন
বলেননি বলেননি
বল্কল বলকল
বলয়িত বলোয়িতো
বসছে বশছে
